"species","gid"
"Tetrapterys_crotonifolia",89974
"Tetrapterys_dillonii",89975
"Tetrapterys_diptera",89976
"Tetrapterys_discolor",89977
"Tetrapterys_donnell_smithii",89978
"Tetrapterys_glabrifolia",89979
"Tetrapterys_goudotiana",89980
"Tetrapterys_hirsutula",89981
"Tetrapterys_inaequalis",89982
"Tetrapterys_jamesonii",89983
"Tetrapterys_jussieuana",89984
"Tetrapterys_longibracteata",89985
"Tetraneuris_ivesiana",89959
"Tetraneuris_linearifolia",89960
"Tetraneuris_scaposa",89961
"Tetrapterys_argentea",89962
"Tetrapterys_aristeguietae",89963
"Tetrapterys_calophylla",89964
"Tetrapterys_subaptera",90004
"Tetrapterys_magnifolia",89986
"Tetrapterys_mexicana",89987
"Tetrapterys_microphylla",89988
"Tetrapterys_mollis",89989
"Tetrapterys_monteverdensis",89990
"Tetrapterys_mortonii",89991
"Tetrapterys_mucronata",89992
"Tetrapterys_nelsonii",89993
"Tetrapterys_nitida",89994
"Tetrapterys_paludosa",89995
"Tetrapterys_pohliana",89996
"Tetrapterys_pusilla",89997
"Tetrapterys_racemulosa",89998
"Tetrapterys_ramiflora",89999
"Tetrapterys_rhodoptera",90000
"Tetrapterys_rhodopteron",90001
"Tetrapterys_stipulacea",90002
"Tetrapterys_styloptera",90003
"Tetrapterys_tenuistachys",90005
"Thalictrum_hernandezii",90095
"Tetraneuris_torreyana",89970
"Tetrasida_chachapoyensis",90009
"Tetrasida_serrulata",90010
"Tetrastylidium_peruvianum",90011
"Tetrathylacium_johansenii",90012
"Tetrathylacium_macrophyllum",90013
"Tetratome_racemosa",90014
"Tetraulacium_veroniciforme",90015
"Tetrazygia_bicolor",90016
"Tetrazygia_crotonifolia",90017
"Tetrazygia_pallens",90018
"Tetrazygia_tuerckheimii",90019
"Tetrazygia_urceolata",90020
"Tetrazygiopsis_longicollis",90021
"Tetrodontium_brownianum",90022
"Tetrodontium_repandum",90023
"Tetroncium_magellanicum",90024
"Tetrorchidium_andinum",90025
"Tetrorchidium_brevifolium",90026
